"index","file","sheet_file","crop_x","crop_y","crop_w","crop_h","source_name","category","source_width","source_height","render_length","render_width","collision_length","collision_width","speed_factor","spawn_weight","traffic_eligible","art_set","legacy_fallback"
"36","../source_packs/gen_vehicles/gen_vehicle_14.png","","","","","","gen_vehicle_14.png","sedan","128","334","48","24","42","20","1","12","True","generated_vehicle_fleet_2026_08_22","False"
"37","../source_packs/gen_vehicles/gen_vehicle_15.png","","","","","","gen_vehicle_15.png","compact","131","334","44","21","38","17","1.05","10","True","generated_vehicle_fleet_2026_08_22","False"
"38","../source_packs/gen_vehicles/gen_vehicle_16.png","","","","","","gen_vehicle_16.png","compact","123","334","44","21","38","17","1.05","10","True","generated_vehicle_fleet_2026_08_22","False"
"39","../source_packs/gen_vehicles/gen_vehicle_17.png","","","","","","gen_vehicle_17.png","limo","134","334","72","23","66","19","0.82","0.7","True","generated_vehicle_fleet_2026_08_22","False"
"40","../source_packs/gen_vehicles/gen_vehicle_18.png","","","","","","gen_vehicle_18.png","sports","121","334","52","24","46","20","1.08","8","True","generated_vehicle_fleet_2026_08_22","False"
"41","../source_packs/gen_vehicles/gen_vehicle_19.png","","","","","","gen_vehicle_19.png","sports","125","334","52","24","46","20","1.08","8","True","generated_vehicle_fleet_2026_08_22","False"
"42","../source_packs/gen_vehicles/gen_vehicle_20.png","","","","","","gen_vehicle_20.png","sedan","129","334","48","24","42","20","1","12","True","generated_vehicle_fleet_2026_08_22","False"
"43","../source_packs/gen_vehicles/gen_vehicle_21.png","","","","","","gen_vehicle_21.png","sedan","126","281","48","24","42","20","1","12","True","generated_vehicle_fleet_2026_08_22","False"
"44","../source_packs/gen_vehicles/gen_vehicle_22.png","","","","","","gen_vehicle_22.png","utility","125","283","54","28","48","22","0.75","0.4","True","generated_vehicle_fleet_2026_08_22","False"
"45","../source_packs/gen_vehicles/gen_vehicle_23.png","","","","","","gen_vehicle_23.png","van","130","283","56","30","50","25","0.92","4","True","generated_vehicle_fleet_2026_08_22","False"
"46","../source_packs/gen_vehicles/gen_vehicle_24.png","","","","","","gen_vehicle_24.png","emergency","132","274","68","30","62","25","0.96","0.7","True","generated_vehicle_fleet_2026_08_22","False"
"47","../source_packs/gen_vehicles/gen_vehicle_25.png","","","","","","gen_vehicle_25.png","emergency","137","257","68","30","62","25","0.96","0.7","True","generated_vehicle_fleet_2026_08_22","False"
"48","../source_packs/gen_vehicles/gen_vehicle_26.png","","","","","","gen_vehicle_26.png","emergency","125","234","68","30","62","25","0.96","0.7","True","generated_vehicle_fleet_2026_08_22","False"
"49","../source_packs/gen_vehicles/gen_vehicle_27.png","","","","","","gen_vehicle_27.png","taxi","129","287","50","24","44","20","1","3","True","generated_vehicle_fleet_2026_08_22","False"
