light_id,source_type,source_id,x,y,radius_px,intensity,color_tag,height_px
l0098,road_sign,s017,11217.73,1966.92,125,0.38,cool,58
l0099,road_sign,s018,9107.21,6877.13,125,0.38,cool,58
l0100,bridge_lamp,gwb_upper_level_0_L,7866.82,6504.04,125,0.62,warm,42
l0101,bridge_lamp,gwb_upper_level_0_R,7940.01,7002.7,125,0.62,warm,42
l0102,bridge_lamp,gwb_upper_level_1_L,8127.05,6466.28,125,0.62,warm,42
l0103,bridge_lamp,gwb_upper_level_1_R,8194.38,6965.76,125,0.62,warm,42
l0104,bridge_lamp,gwb_upper_level_2_L,8390.08,6434.24,125,0.62,warm,42
l0105,bridge_lamp,gwb_upper_level_2_R,8447.52,6934.96,125,0.62,warm,42
l0106,bridge_lamp,gwb_upper_level_3_L,8648.93,6404.66,125,0.62,warm,42
l0107,bridge_lamp,gwb_upper_level_3_R,8705.31,6905.5,125,0.62,warm,42
l0108,bridge_lamp,gwb_upper_level_4_L,8911.26,6377.82,125,0.62,warm,42
l0109,bridge_lamp,gwb_upper_level_4_R,8960.28,6879.43,125,0.62,warm,42
l0110,bridge_lamp,gwb_upper_level_5_L,9171.1,6352.58,125,0.62,warm,42
l0111,bridge_lamp,gwb_upper_level_5_R,9218.0,6854.39,125,0.62,warm,42
l0112,bridge_lamp,gwb_upper_level_6_L,9437.63,6332.39,125,0.62,warm,42
l0113,bridge_lamp,gwb_upper_level_6_R,9469.96,6835.35,125,0.62,warm,42
l0114,bridge_lamp,gwb_upper_level_7_L,9694.85,6315.81,125,0.62,warm,42
l0115,bridge_lamp,gwb_upper_level_7_R,9731.67,6818.46,125,0.62,warm,42
l0116,bridge_lamp,gwb_upper_level_8_L,9937.73,6290.27,125,0.62,warm,42
l0117,bridge_lamp,gwb_upper_level_8_R,10005.82,6789.65,125,0.62,warm,42
l0118,bridge_lamp,gwb_upper_level_9_L,10195.35,6255.14,125,0.62,warm,42
l0119,bridge_lamp,gwb_upper_level_9_R,10263.44,6754.52,125,0.62,warm,42
