building_id,district,building_kind,road_id,road_class,gap_before,gap_after,road_clearance_before,road_clearance_after,target_gap,shift_x,shift_y,shift_distance,shift_direction,frontage_class,addressed,safe_clearance,status
block_building_0045,fort_lee,urban_block,fl_southwest_local,residential,-0.46,16.0,30.14,46.6,16.0,1.17,-16.42,16.46,away_from_street,ordinary_urban,true,true,pass
block_building_0046,fort_lee,urban_block,fl_sylvan_road,tertiary,7.85,16.0,41.85,50.0,16.0,-8.1,0.9,8.15,away_from_street,ordinary_urban,true,true,pass
block_building_0047,fort_lee,urban_block,fl_southeast_local,residential,54.86,16.0,85.46,46.6,16.0,0.0,38.86,38.86,toward_street,ordinary_urban,true,true,pass
block_building_0048,washington_heights,urban_block,wh_southwest_local,residential,52.46,10.0,83.06,40.6,10.0,0.0,42.46,42.46,toward_street,ordinary_urban,true,true,pass
block_building_0049,washington_heights,urban_block,wh_southwest_local,residential,52.46,10.0,83.06,40.6,10.0,0.0,42.46,42.46,toward_street,ordinary_urban,true,true,pass
block_building_0050,washington_heights,urban_block,wh_southwest_local,residential,46.06,10.0,76.66,40.6,10.0,0.0,36.06,36.06,toward_street,ordinary_urban,true,true,pass
block_building_0051,washington_heights,urban_block,wh_southeast_local,residential,32.46,10.0,63.06,40.6,10.0,2.48,22.32,22.46,toward_street,ordinary_urban,true,true,pass
block_building_0052,washington_heights,urban_block,wh_southeast_local,residential,11.25,10.0,41.85,40.6,10.0,0.14,1.25,1.25,toward_street,ordinary_urban,true,true,pass
block_building_0053,washington_heights,urban_block,wh_southeast_local,residential,5.1,10.0,35.7,40.6,10.0,0.38,-4.88,4.9,away_from_street,ordinary_urban,true,true,pass
block_building_0054,washington_heights,urban_block,wh_168th_street,secondary,33.24,6.0,70.64,43.4,6.0,0.0,27.24,27.24,toward_street,ordinary_urban,true,true,pass
block_building_0055,washington_heights,urban_block,wh_168th_street,secondary,33.24,6.0,70.64,43.4,6.0,0.0,27.24,27.24,toward_street,ordinary_urban,true,true,pass
block_building_0056,washington_heights,urban_block,wh_southwest_local,residential,52.46,10.0,83.06,40.6,10.0,0.0,-42.46,42.46,toward_street,ordinary_urban,true,true,pass
block_building_0057,washington_heights,urban_block,wh_southeast_local,residential,46.06,15.46,76.66,46.06,10.0,30.6,-19.08,36.06,toward_street,ordinary_urban,true,true,pass
block_building_0058,washington_heights,urban_block,wh_southeast_local,residential,36.87,10.0,67.47,40.6,10.0,-2.97,-26.71,26.87,toward_street,ordinary_urban,true,true,pass
block_building_0059,washington_heights,urban_block,wh_southeast_local,residential,49.65,10.0,80.25,40.6,10.0,3.04,-39.53,39.65,toward_street,ordinary_urban,true,true,pass
block_building_0060,fort_lee,urban_block,fl_park_lane,tertiary,-2.83,16.0,31.17,50.0,16.0,1.25,-18.79,18.83,away_from_street,ordinary_urban,true,true,pass
block_building_0061,fort_lee,urban_block,fl_south_connector,residential,52.46,16.0,83.06,46.6,16.0,-36.46,0.0,36.46,toward_street,ordinary_urban,true,true,pass
block_building_0062,fort_lee,urban_block,fl_west_avenue,secondary,18.04,10.0,55.44,47.4,10.0,8.04,0.0,8.04,toward_street,ordinary_urban,true,true,pass
block_building_0063,fort_lee,urban_block,fl_south_boulevard,primary,-3.58,18.04,40.62,55.44,10.0,-0.0,-13.58,13.58,away_from_street,ordinary_urban,true,true,pass
block_building_0064,washington_heights,urban_block,wh_168th_street,secondary,18.04,6.0,55.44,43.4,6.0,0.0,12.04,12.04,toward_street,ordinary_urban,true,true,pass
block_building_0065,fort_lee,urban_block,fl_sylvan_road,tertiary,3.06,16.0,37.06,50.0,16.0,-12.91,-0.81,12.94,away_from_street,ordinary_urban,true,true,pass
block_building_0066,fort_lee,urban_block,fl_southeast_local,residential,54.86,16.0,85.46,46.6,16.0,0.0,-38.86,38.86,toward_street,ordinary_urban,true,true,pass
block_building_0067,washington_heights,church_landmark,wh_lower_east_local,residential,-4.35,34.0,26.25,64.6,34.0,2.94,-38.23,38.35,away_from_street,intentional_setback,true,true,pass
block_building_0068,washington_heights,urban_block,wh_lower_local,residential,-4.42,10.0,26.18,40.6,10.0,0.55,-14.41,14.42,away_from_street,ordinary_urban,true,true,pass
block_building_0069,washington_heights,urban_block,wh_lower_local,residential,22.48,10.0,53.08,40.6,10.0,-0.48,12.48,12.48,toward_street,ordinary_urban,true,true,pass
block_building_0070,washington_heights,urban_block,wh_lower_local,residential,19.21,10.0,49.81,40.6,10.0,0.42,9.2,9.21,toward_street,ordinary_urban,true,true,pass
block_building_0071,washington_heights,urban_block,wh_lower_local,residential,-6.08,10.0,24.52,40.6,10.0,-0.73,-16.06,16.08,away_from_street,ordinary_urban,true,true,pass
block_building_0072,washington_heights,urban_block,wh_lower_local,residential,0.19,10.0,30.79,40.6,10.0,0.75,-9.78,9.81,away_from_street,ordinary_urban,true,true,pass
block_building_0073,washington_heights,urban_block,wh_lower_connector,residential,39.66,10.0,70.26,40.6,10.0,-29.66,0.0,29.66,toward_street,ordinary_urban,true,true,pass
block_building_0074,fort_lee,urban_block,fl_south_boulevard,primary,11.62,10.0,55.82,54.2,10.0,0.0,1.62,1.62,toward_street,ordinary_urban,true,true,pass
block_building_0075,fort_lee,urban_block,fl_south_connector,residential,55.23,16.0,85.83,46.6,16.0,-39.09,3.26,39.23,toward_street,ordinary_urban,true,true,pass
block_building_0076,fort_lee,urban_block,fl_sylvan_road,tertiary,0.26,16.0,34.26,50.0,16.0,-15.44,3.09,15.74,away_from_street,ordinary_urban,true,true,pass
block_building_0077,washington_heights,urban_block,wh_south_crosstown,primary,11.62,6.0,55.82,50.2,6.0,0.0,5.62,5.62,toward_street,ordinary_urban,true,true,pass
block_building_0078,washington_heights,urban_block,wh_south_crosstown,primary,6.41,6.41,50.61,50.61,6.0,0.0,0.0,0.0,unchanged,ordinary_urban,true,true,pass
block_building_0079,fort_lee,urban_block,fl_sylvan_road,tertiary,2.82,15.95,47.02,49.95,16.0,-46.0,10.0,47.07,corner_2d_repair,ordinary_urban,true,true,pass
block_building_0080,washington_heights,urban_block,wh_south_crosstown,primary,-3.58,6.0,40.62,50.2,6.0,-0.0,-9.58,9.58,away_from_street,ordinary_urban,true,true,pass
block_building_0081,washington_heights,urban_block,wh_lower_local,residential,-3.58,10.02,40.62,40.62,10.0,-6.0,-34.0,34.53,corner_2d_repair,ordinary_urban,true,true,pass
block_building_0082,washington_heights,urban_block,wh_lower_local,residential,15.43,10.0,46.03,40.6,10.0,-0.25,-5.42,5.43,toward_street,ordinary_urban,true,true,pass
block_building_0083,washington_heights,urban_block,wh_lower_connector,residential,0.49,10.0,31.09,40.6,10.0,-9.48,0.79,9.51,away_from_street,ordinary_urban,true,true,pass
block_building_0084,washington_heights,urban_block,wh_south_connector,residential,-4.98,10.0,25.62,40.6,10.0,-14.91,1.49,14.98,away_from_street,ordinary_urban,true,true,pass
block_building_0085,fort_lee,urban_block,fl_west_avenue,secondary,20.14,10.0,57.54,47.4,10.0,10.13,0.51,10.14,toward_street,ordinary_urban,true,true,pass
block_building_0086,fort_lee,urban_block,fl_west_avenue,secondary,42.47,10.0,79.87,47.4,10.0,-32.43,-1.62,32.47,toward_street,ordinary_urban,true,true,pass
block_building_0087,fort_lee,urban_block,fl_center_avenue,primary,11.62,10.0,55.82,54.2,10.0,1.62,0.0,1.62,toward_street,ordinary_urban,true,true,pass
block_building_0088,fort_lee,urban_block,fl_sylvan_road,tertiary,54.3,16.0,88.3,50.0,16.0,38.25,1.91,38.3,toward_street,ordinary_urban,true,true,pass
block_building_0089,fort_lee,urban_block,fl_hudson_terrace,secondary,42.47,10.0,79.87,47.4,10.0,32.43,-1.62,32.47,toward_street,ordinary_urban,true,true,pass
block_building_0090,washington_heights,urban_block,wh_south_crosstown,primary,30.58,6.0,74.78,50.2,6.0,-1.89,-24.51,24.58,toward_street,ordinary_urban,true,true,pass
block_building_0091,washington_heights,urban_block,wh_riverside_drive,secondary,36.22,6.0,73.62,43.4,6.0,-30.18,1.59,30.22,toward_street,ordinary_urban,true,true,pass
block_building_0092,washington_heights,urban_block,wh_broadway,primary,30.62,6.0,74.82,50.2,6.0,24.48,-2.58,24.62,toward_street,ordinary_urban,true,true,pass
block_building_0093,washington_heights,urban_block,wh_broadway,primary,23.92,6.0,68.12,50.2,6.0,-17.82,1.88,17.92,toward_street,ordinary_urban,true,true,pass
block_building_0094,washington_heights,urban_block,wh_amsterdam_avenue,secondary,38.84,6.0,76.24,43.4,6.0,-32.66,3.44,32.84,toward_street,ordinary_urban,true,true,pass
block_building_0095,washington_heights,urban_block,wh_east_avenue,primary,22.59,6.0,66.79,50.2,6.0,16.57,-0.87,16.59,toward_street,ordinary_urban,true,true,pass
