building_id,district,building_kind,atlas,cell,component_scale_ratio,min_allowed,max_allowed,scale_mode,status
block_building_0063,fort_lee,urban_block,compact_lot_blocks_v1.png,3,0.9778,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0064,washington_heights,urban_block,compact_lot_blocks_v1.png,11,0.9835,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0065,fort_lee,urban_block,fort_lee_blocks_v1.png,2,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0066,fort_lee,urban_block,fort_lee_blocks_v1.png,3,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0067,washington_heights,church_landmark,washington_heights_blocks_v1.png,7,0.9314,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0068,washington_heights,urban_block,washington_heights_blocks_v1.png,15,0.9819,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0069,washington_heights,urban_block,washington_heights_blocks_v1.png,8,1.0382,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0070,washington_heights,urban_block,compact_lot_blocks_v1.png,14,1.0396,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0071,washington_heights,urban_block,compact_lot_blocks_v1.png,10,1.0206,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0072,washington_heights,urban_block,washington_heights_blocks_v1.png,5,0.9669,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0073,washington_heights,urban_block,compact_lot_blocks_v1.png,11,1.0541,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0074,fort_lee,urban_block,fort_lee_blocks_v1.png,1,1.0783,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0075,fort_lee,urban_block,compact_lot_blocks_v1.png,1,1.0503,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0076,fort_lee,urban_block,fort_lee_blocks_v1.png,6,0.9352,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0077,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.8874,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0078,washington_heights,urban_block,washington_heights_blocks_v1.png,6,0.9438,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0079,fort_lee,urban_block,fort_lee_blocks_v1.png,10,0.9309,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0080,washington_heights,urban_block,compact_lot_blocks_v1.png,12,1.0516,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0081,washington_heights,urban_block,compact_lot_blocks_v1.png,11,1.0541,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0082,washington_heights,urban_block,compact_lot_blocks_v1.png,12,0.9956,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0083,washington_heights,urban_block,compact_lot_blocks_v1.png,14,1.0994,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0084,washington_heights,urban_block,compact_lot_blocks_v1.png,10,0.9869,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0085,fort_lee,urban_block,compact_lot_blocks_v1.png,0,1.0182,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0086,fort_lee,urban_block,fort_lee_blocks_v1.png,11,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0087,fort_lee,urban_block,fort_lee_blocks_v1.png,8,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0088,fort_lee,urban_block,fort_lee_blocks_v1.png,12,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0089,fort_lee,urban_block,fort_lee_blocks_v1.png,5,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0090,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.8874,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0091,washington_heights,urban_block,washington_heights_blocks_v1.png,15,1.0783,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0092,washington_heights,urban_block,washington_heights_blocks_v1.png,11,1.0783,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0093,washington_heights,urban_block,washington_heights_blocks_v1.png,3,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0094,washington_heights,urban_block,washington_heights_blocks_v1.png,2,1.0062,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0095,washington_heights,urban_block,washington_heights_blocks_v1.png,8,1.0382,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
