id,building_id,district,kind,x,y,w,h,rotation,placement_rule
frontage_0029,block_building_0011,washington_heights,frontage_wear,14554.29,3296.0,42.86,512.64,90,facade_apron_wear_pass19b_v1
frontage_0030,block_building_0012,washington_heights,frontage_wear,15968.0,3674.29,512.64,42.86,0,facade_apron_wear_pass19b_v1
frontage_0031,block_building_0012,washington_heights,sandwich_board,15891.36,3683.0,13,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0032,block_building_0012,washington_heights,trash_bin,16048.84,3688.0,15,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0033,block_building_0012,washington_heights,litter_cluster,16196.79,3693.0,9,11,113,subtle_frontage_litter_pass19b_v1
frontage_0034,block_building_0013,fort_lee,frontage_wear,420.58,3370.4,33.41,549.5,90,facade_apron_wear_pass19b_v1
frontage_0035,block_building_0014,fort_lee,frontage_wear,422.25,4181.6,36.64,549.5,90,facade_apron_wear_pass19b_v1
frontage_0036,block_building_0015,fort_lee,frontage_wear,992.0,3600.48,420.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0037,block_building_0015,fort_lee,planter,905.68,3605.0,24,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0038,block_building_0015,fort_lee,railing,1000.4,3600.0,46,7,0,district_frontage_cluster_pass19b_v1:south
frontage_0039,block_building_0015,fort_lee,utility_box,1095.12,3609.0,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0040,block_building_0015,fort_lee,litter_cluster,803.6,3608.0,10,8,38,subtle_frontage_litter_pass19b_v1
frontage_0041,block_building_0016,fort_lee,frontage_wear,1824.0,3600.48,420.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0042,block_building_0017,fort_lee,frontage_wear,3160.78,3424.0,39.97,512.64,90,facade_apron_wear_pass19b_v1
frontage_0043,block_building_0018,fort_lee,frontage_wear,3904.0,3802.29,650.88,42.86,0,facade_apron_wear_pass19b_v1
frontage_0044,block_building_0019,washington_heights,frontage_wear,10861.12,4096.0,24.0,562.18,90,facade_apron_wear_pass19b_v1
frontage_0045,block_building_0020,fort_lee,frontage_wear,1306.29,4224.0,42.86,558.72,90,facade_apron_wear_pass19b_v1
frontage_0046,block_building_0021,washington_heights,frontage_wear,11553.49,4160.0,34.06,571.39,90,facade_apron_wear_pass19b_v1
frontage_0047,block_building_0022,washington_heights,frontage_wear,13935.52,4160.0,24.0,466.56,90,facade_apron_wear_pass19b_v1
frontage_0048,block_building_0022,washington_heights,sandwich_board,13925.0,4079.84,18,13,90,district_frontage_cluster_pass19b_v1:west
frontage_0049,block_building_0022,washington_heights,trash_bin,13930.0,4221.96,15,15,90,district_frontage_cluster_pass19b_v1:west
frontage_0050,block_building_0022,washington_heights,litter_cluster,13927.0,4078.19,11,9,147,subtle_frontage_litter_pass19b_v1
frontage_0051,block_building_0023,washington_heights,frontage_wear,14814.04,4224.0,53.0,470.02,90,facade_apron_wear_pass19b_v1
frontage_0052,block_building_0023,washington_heights,utility_box,14814.6,4118.3,15,18,90,district_frontage_cluster_pass19b_v1:west
frontage_0053,block_building_0023,washington_heights,stoop,14814.6,4225.4,18,32,90,district_frontage_cluster_pass19b_v1:west
frontage_0054,block_building_0023,washington_heights,sandwich_board,14826.6,4332.5,18,13,90,district_frontage_cluster_pass19b_v1:west
frontage_0055,block_building_0023,washington_heights,litter_cluster,14793.6,4293.44,14,8,2,subtle_frontage_litter_pass19b_v1
frontage_0056,block_building_0024,washington_heights,frontage_wear,16000.0,3895.92,466.56,54.0,0,facade_apron_wear_pass19b_v1
frontage_0057,block_building_0025,fort_lee,frontage_wear,3168.6,4544.0,55.0,743.04,90,facade_apron_wear_pass19b_v1
frontage_0058,block_building_0026,fort_lee,frontage_wear,4432.48,4544.0,24.0,743.04,90,facade_apron_wear_pass19b_v1
frontage_0059,block_building_0026,fort_lee,service_patch,4431.0,4341.69,28,44,90,district_frontage_cluster_pass19b_v1:east
frontage_0060,block_building_0026,fort_lee,stoop,4440.0,4481.7,18,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0061,block_building_0026,fort_lee,planter,4435.0,4621.7,18,24,90,district_frontage_cluster_pass19b_v1:east
frontage_0062,block_building_0026,fort_lee,railing,4430.0,4761.71,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0063,block_building_0026,fort_lee,litter_cluster,4449.0,4685.41,15,11,107,subtle_frontage_litter_pass19b_v1
frontage_0064,block_building_0027,washington_heights,frontage_wear,11500.0,4769.6,771.84,50.78,0,facade_apron_wear_pass19b_v1
frontage_0065,block_building_0027,washington_heights,utility_box,11249.12,4769.0,18,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0066,block_building_0027,washington_heights,stoop,11370.36,4769.0,32,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0067,block_building_0027,washington_heights,sandwich_board,11491.6,4765.0,13,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0068,block_building_0027,washington_heights,litter_cluster,11161.51,4768.0,10,10,142,subtle_frontage_litter_pass19b_v1
frontage_0069,block_building_0028,washington_heights,frontage_wear,11488.0,6032.48,789.12,24.0,0,facade_apron_wear_pass19b_v1
frontage_0070,block_building_0029,washington_heights,frontage_wear,14619.44,5024.0,40.46,331.78,90,facade_apron_wear_pass19b_v1
frontage_0071,block_building_0029,washington_heights,service_patch,14637.4,4915.61,28,44,90,district_frontage_cluster_pass19b_v1:east
frontage_0072,block_building_0029,washington_heights,basement_grate,14614.4,4963.5,15,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0073,block_building_0029,washington_heights,awning,14621.4,5011.4,18,42,90,district_frontage_cluster_pass19b_v1:east
frontage_0074,block_building_0029,washington_heights,railing,14625.4,5085.9,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0075,block_building_0029,washington_heights,utility_box,14625.4,5133.79,15,18,90,district_frontage_cluster_pass19b_v1:east
frontage_0076,block_building_0029,washington_heights,litter_cluster,14632.4,5094.99,8,8,32,subtle_frontage_litter_pass19b_v1
frontage_0077,block_building_0030,washington_heights,frontage_wear,16000.0,5266.88,470.02,24.0,0,facade_apron_wear_pass19b_v1
frontage_0078,block_building_0030,washington_heights,awning,15938.86,5273.4,42,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0079,block_building_0030,washington_heights,railing,16082.14,5268.4,46,7,0,district_frontage_cluster_pass19b_v1:south
frontage_0080,block_building_0030,washington_heights,litter_cluster,16199.65,5275.4,15,9,111,subtle_frontage_litter_pass19b_v1
frontage_0081,block_building_0031,fort_lee,frontage_wear,473.28,5085.6,24.0,429.7,90,facade_apron_wear_pass19b_v1
frontage_0082,block_building_0032,fort_lee,frontage_wear,473.28,5730.4,24.0,429.7,90,facade_apron_wear_pass19b_v1
frontage_0083,block_building_0032,fort_lee,planter,473.8,5671.78,18,24,90,district_frontage_cluster_pass19b_v1:east
frontage_0084,block_building_0032,fort_lee,railing,482.8,5801.62,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0085,block_building_0032,fort_lee,litter_cluster,479.8,5789.45,13,7,1,subtle_frontage_litter_pass19b_v1
frontage_0086,block_building_0033,fort_lee,frontage_wear,687.52,5440.0,24.0,835.2,90,facade_apron_wear_pass19b_v1
frontage_0087,block_building_0033,fort_lee,service_patch,683.0,5231.8,28,44,90,district_frontage_cluster_pass19b_v1:west
frontage_0088,block_building_0033,fort_lee,stoop,688.0,5430.2,18,32,90,district_frontage_cluster_pass19b_v1:west
frontage_0089,block_building_0033,fort_lee,planter,679.0,5628.6,18,24,90,district_frontage_cluster_pass19b_v1:west
frontage_0090,block_building_0033,fort_lee,litter_cluster,682.0,5839.6,8,6,36,subtle_frontage_litter_pass19b_v1
frontage_0091,block_building_0034,fort_lee,frontage_wear,2192.48,5440.0,24.0,835.2,90,facade_apron_wear_pass19b_v1
frontage_0092,block_building_0035,washington_heights,frontage_wear,12640.0,5273.8,423.94,37.32,0,facade_apron_wear_pass19b_v1
frontage_0093,block_building_0035,washington_heights,service_patch,12498.09,5274.4,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0094,block_building_0035,washington_heights,basement_grate,12587.94,5281.4,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0095,block_building_0035,washington_heights,awning,12651.2,5267.4,42,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0096,block_building_0035,washington_heights,railing,12714.46,5277.4,46,7,0,district_frontage_cluster_pass19b_v1:south
frontage_0097,block_building_0035,washington_heights,utility_box,12777.71,5281.4,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0098,block_building_0035,washington_heights,litter_cluster,12713.71,5278.4,14,10,106,subtle_frontage_litter_pass19b_v1
frontage_0099,block_building_0035,washington_heights,litter_cluster,12802.93,5276.4,13,9,129,subtle_frontage_litter_pass19b_v1
frontage_0100,block_building_0035,washington_heights,litter_cluster,12500.34,5274.4,12,8,152,subtle_frontage_litter_pass19b_v1
frontage_0101,block_building_0036,fort_lee,frontage_wear,3160.52,5664.0,39.46,512.64,90,facade_apron_wear_pass19b_v1
frontage_0102,block_building_0036,fort_lee,service_patch,3160.0,5519.61,28,44,90,district_frontage_cluster_pass19b_v1:east
frontage_0103,block_building_0036,fort_lee,stoop,3167.0,5613.54,18,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0104,block_building_0036,fort_lee,planter,3176.0,5707.46,18,24,90,district_frontage_cluster_pass19b_v1:east
frontage_0105,block_building_0036,fort_lee,railing,3155.0,5801.39,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0106,block_building_0036,fort_lee,litter_cluster,3173.0,5439.98,9,9,141,subtle_frontage_litter_pass19b_v1
frontage_0107,block_building_0036,fort_lee,litter_cluster,3169.0,5549.61,8,8,164,subtle_frontage_litter_pass19b_v1
frontage_0108,block_building_0037,fort_lee,frontage_wear,3776.0,6032.48,558.72,24.0,0,facade_apron_wear_pass19b_v1
frontage_0109,block_building_0038,washington_heights,frontage_wear,15104.0,6032.48,374.4,24.0,0,facade_apron_wear_pass19b_v1
frontage_0110,block_building_0039,washington_heights,frontage_wear,16000.0,6032.48,466.56,24.0,0,facade_apron_wear_pass19b_v1
frontage_0111,block_building_0039,washington_heights,service_patch,15862.08,6033.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0112,block_building_0039,washington_heights,basement_grate,15932.44,6042.0,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0113,block_building_0039,washington_heights,awning,16002.8,6037.0,42,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0114,block_building_0039,washington_heights,railing,16073.16,6032.0,46,7,0,district_frontage_cluster_pass19b_v1:south
frontage_0115,block_building_0039,washington_heights,utility_box,16143.52,6041.0,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0116,block_building_0039,washington_heights,litter_cluster,15814.86,6044.0,10,6,66,subtle_frontage_litter_pass19b_v1
frontage_0117,block_building_0039,washington_heights,litter_cluster,15913.89,6043.0,9,11,89,subtle_frontage_litter_pass19b_v1
frontage_0118,block_building_0040,washington_heights,frontage_wear,12672.0,5495.6,377.86,50.0,0,facade_apron_wear_pass19b_v1
frontage_0119,block_building_0040,washington_heights,awning,12615.02,5494.6,42,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0120,block_building_0040,washington_heights,railing,12727.58,5509.6,46,7,0,district_frontage_cluster_pass19b_v1:north
frontage_0121,block_building_0040,washington_heights,litter_cluster,12600.21,5454.6,9,7,145,subtle_frontage_litter_pass19b_v1
frontage_0122,block_building_0041,washington_heights,frontage_wear,13659.44,5760.0,28.15,387.07,90,facade_apron_wear_pass19b_v1
frontage_0123,block_building_0042,washington_heights,frontage_wear,14304.0,5480.79,420.48,36.94,0,facade_apron_wear_pass19b_v1
frontage_0124,block_building_0042,washington_heights,sandwich_board,14235.72,5465.0,13,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0125,block_building_0042,washington_heights,trash_bin,14362.48,5480.0,15,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0126,block_building_0042,washington_heights,litter_cluster,14492.4,5459.0,15,11,35,subtle_frontage_litter_pass19b_v1
frontage_0127,block_building_0043,fort_lee,frontage_wear,421.39,6624.0,34.98,442.37,90,facade_apron_wear_pass19b_v1
frontage_0128,block_building_0044,fort_lee,frontage_wear,1024.0,6928.48,466.56,24.0,0,facade_apron_wear_pass19b_v1
frontage_0129,block_building_0045,fort_lee,frontage_wear,1888.0,6928.48,420.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0130,block_building_0045,fort_lee,planter,1762.64,6931.0,24,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0131,block_building_0045,fort_lee,railing,1825.32,6926.0,46,7,0,district_frontage_cluster_pass19b_v1:south
frontage_0132,block_building_0045,fort_lee,utility_box,1888.0,6935.0,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0133,block_building_0045,fort_lee,basement_grate,1950.68,6930.0,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0134,block_building_0045,fort_lee,service_patch,2013.36,6939.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0135,block_building_0045,fort_lee,litter_cluster,1703.45,6942.0,8,8,140,subtle_frontage_litter_pass19b_v1
frontage_0136,block_building_0046,fort_lee,frontage_wear,3224.97,6752.0,40.33,604.8,90,facade_apron_wear_pass19b_v1
frontage_0137,block_building_0047,fort_lee,frontage_wear,3904.0,7194.29,558.72,42.86,0,facade_apron_wear_pass19b_v1
frontage_0138,block_building_0047,fort_lee,utility_box,3771.92,7193.0,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0139,block_building_0047,fort_lee,basement_grate,3901.2,7198.0,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0140,block_building_0047,fort_lee,service_patch,4030.48,7203.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0141,block_building_0047,fort_lee,litter_cluster,4019.0,7190.0,14,6,30,subtle_frontage_litter_pass19b_v1
frontage_0142,block_building_0048,washington_heights,frontage_wear,11296.0,6811.44,516.1,40.46,0,facade_apron_wear_pass19b_v1
frontage_0143,block_building_0049,washington_heights,frontage_wear,12768.0,6811.44,331.78,40.46,0,facade_apron_wear_pass19b_v1
frontage_0144,block_building_0050,washington_heights,frontage_wear,13233.2,6560.0,50.0,340.99,90,facade_apron_wear_pass19b_v1
frontage_0145,block_building_0051,washington_heights,frontage_wear,14272.0,6942.52,466.56,51.0,0,facade_apron_wear_pass19b_v1
frontage_0146,block_building_0052,washington_heights,frontage_wear,15104.0,6865.72,374.4,26.38,0,facade_apron_wear_pass19b_v1
frontage_0147,block_building_0052,washington_heights,sandwich_board,15058.8,6867.0,13,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0148,block_building_0052,washington_heights,trash_bin,15170.2,6872.0,15,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0149,block_building_0052,washington_heights,litter_cluster,15043.09,6883.0,9,9,69,subtle_frontage_litter_pass19b_v1
frontage_0150,block_building_0053,washington_heights,frontage_wear,16032.0,6864.48,420.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0151,block_building_0053,washington_heights,utility_box,15899.64,6863.0,18,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0152,block_building_0053,washington_heights,stoop,15962.32,6872.0,32,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0153,block_building_0053,washington_heights,sandwich_board,16025.0,6867.0,13,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0154,block_building_0053,washington_heights,litter_cluster,16097.36,6878.0,12,8,104,subtle_frontage_litter_pass19b_v1
frontage_0155,block_building_0054,washington_heights,frontage_wear,11250.0,7568.48,446.4,24.0,0,facade_apron_wear_pass19b_v1
frontage_0156,block_building_0055,washington_heights,frontage_wear,11918.0,7568.48,446.4,24.0,0,facade_apron_wear_pass19b_v1
frontage_0157,block_building_0056,washington_heights,frontage_wear,12768.0,7012.56,331.78,40.46,0,facade_apron_wear_pass19b_v1
frontage_0158,block_building_0056,washington_heights,sandwich_board,12682.07,7000.6,13,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0159,block_building_0056,washington_heights,trash_bin,12739.82,7023.6,15,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0160,block_building_0056,washington_heights,service_patch,12797.58,7016.6,44,28,0,district_frontage_cluster_pass19b_v1:north
frontage_0161,block_building_0056,washington_heights,basement_grate,12855.33,7009.6,32,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0162,block_building_0056,washington_heights,litter_cluster,12830.11,7002.6,13,11,29,subtle_frontage_litter_pass19b_v1
frontage_0163,block_building_0057,washington_heights,frontage_wear,13731.3,7296.0,43.27,387.07,90,facade_apron_wear_pass19b_v1
frontage_0164,block_building_0057,washington_heights,utility_box,13730.8,7166.38,15,18,90,district_frontage_cluster_pass19b_v1:east
frontage_0165,block_building_0057,washington_heights,stoop,13734.8,7250.09,18,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0166,block_building_0057,washington_heights,sandwich_board,13738.8,7307.2,18,13,90,district_frontage_cluster_pass19b_v1:east
frontage_0167,block_building_0057,washington_heights,litter_cluster,13740.8,7138.02,8,10,64,subtle_frontage_litter_pass19b_v1
frontage_0168,block_building_0058,washington_heights,frontage_wear,15136.0,7570.88,423.94,24.0,0,facade_apron_wear_pass19b_v1
frontage_0169,block_building_0059,washington_heights,frontage_wear,16032.0,7060.52,433.15,59.0,0,facade_apron_wear_pass19b_v1
frontage_0170,block_building_0059,washington_heights,service_patch,15942.51,7080.2,44,28,0,district_frontage_cluster_pass19b_v1:north
frontage_0171,block_building_0059,washington_heights,basement_grate,16040.4,7064.2,32,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0172,block_building_0059,washington_heights,awning,16138.29,7064.2,42,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0173,block_building_0059,washington_heights,litter_cluster,16131.29,7059.2,14,8,134,subtle_frontage_litter_pass19b_v1
frontage_0174,block_building_0060,fort_lee,frontage_wear,1370.29,7616.0,42.86,650.88,90,facade_apron_wear_pass19b_v1
frontage_0175,block_building_0060,fort_lee,service_patch,1367.0,7517.72,28,44,90,district_frontage_cluster_pass19b_v1:east
frontage_0176,block_building_0060,fort_lee,stoop,1372.0,7721.28,18,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0177,block_building_0060,fort_lee,litter_cluster,1369.0,7904.99,13,9,33,subtle_frontage_litter_pass19b_v1
frontage_0178,block_building_0061,fort_lee,frontage_wear,1920.0,7135.08,470.02,51.0,0,facade_apron_wear_pass19b_v1
frontage_0179,block_building_0062,fort_lee,frontage_wear,415.68,7562.4,24.0,595.58,90,facade_apron_wear_pass19b_v1
frontage_0180,block_building_0062,fort_lee,planter,414.2,7394.52,18,24,90,district_frontage_cluster_pass19b_v1:east
frontage_0181,block_building_0062,fort_lee,railing,423.2,7505.04,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0182,block_building_0062,fort_lee,utility_box,418.2,7615.56,15,18,90,district_frontage_cluster_pass19b_v1:east
frontage_0183,block_building_0062,fort_lee,basement_grate,413.2,7726.08,15,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0184,block_building_0062,fort_lee,litter_cluster,428.2,7651.93,11,7,103,subtle_frontage_litter_pass19b_v1
frontage_0185,block_building_0062,fort_lee,litter_cluster,427.2,7780.64,10,6,126,subtle_frontage_litter_pass19b_v1
frontage_0186,block_building_0062,fort_lee,litter_cluster,426.2,7344.16,9,11,149,subtle_frontage_litter_pass19b_v1
frontage_0187,block_building_0063,fort_lee,frontage_wear,418.27,8437.6,28.97,595.58,90,facade_apron_wear_pass19b_v1
frontage_0188,block_building_0063,fort_lee,service_patch,430.2,8262.27,28,44,90,district_frontage_cluster_pass19b_v1:east
frontage_0189,block_building_0063,fort_lee,stoop,413.2,8354.14,18,32,90,district_frontage_cluster_pass19b_v1:east
frontage_0190,block_building_0063,fort_lee,planter,414.2,8446.0,18,24,90,district_frontage_cluster_pass19b_v1:east
frontage_0191,block_building_0063,fort_lee,litter_cluster,435.2,8157.81,14,6,138,subtle_frontage_litter_pass19b_v1
frontage_0192,block_building_0064,washington_heights,frontage_wear,14304.0,7583.68,442.37,24.0,0,facade_apron_wear_pass19b_v1
frontage_0193,block_building_0065,fort_lee,frontage_wear,2912.0,7397.71,512.64,42.86,0,facade_apron_wear_pass19b_v1
frontage_0194,block_building_0066,fort_lee,frontage_wear,3968.0,7397.71,650.88,42.86,0,facade_apron_wear_pass19b_v1
frontage_0195,block_building_0066,fort_lee,service_patch,3857.12,7381.0,44,28,0,district_frontage_cluster_pass19b_v1:north
frontage_0196,block_building_0066,fort_lee,stoop,4060.68,7408.0,32,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0197,block_building_0066,fort_lee,litter_cluster,3685.16,7399.0,15,9,63,subtle_frontage_litter_pass19b_v1
frontage_0198,block_building_0067,washington_heights,frontage_wear,16032.0,8217.28,433.15,24.0,0,facade_apron_wear_pass19b_v1
frontage_0199,block_building_0068,washington_heights,frontage_wear,11266.0,8336.48,469.44,24.0,0,facade_apron_wear_pass19b_v1
frontage_0200,block_building_0069,washington_heights,frontage_wear,11966.0,8336.48,469.44,24.0,0,facade_apron_wear_pass19b_v1
frontage_0201,block_building_0069,washington_heights,service_patch,11856.24,8335.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0202,block_building_0069,washington_heights,basement_grate,11963.2,8344.0,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0203,block_building_0069,washington_heights,awning,12070.16,8339.0,42,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0204,block_building_0069,washington_heights,litter_cluster,11783.96,8342.0,8,6,168,subtle_frontage_litter_pass19b_v1
frontage_0205,block_building_0070,washington_heights,frontage_wear,13086.51,8064.0,34.06,387.07,90,facade_apron_wear_pass19b_v1
frontage_0206,block_building_0070,washington_heights,awning,13095.8,7998.49,18,42,90,district_frontage_cluster_pass19b_v1:east
frontage_0207,block_building_0070,washington_heights,railing,13084.8,8114.11,7,46,90,district_frontage_cluster_pass19b_v1:east
frontage_0208,block_building_0070,washington_heights,litter_cluster,13099.8,7993.79,15,7,67,subtle_frontage_litter_pass19b_v1
frontage_0209,block_building_0071,washington_heights,frontage_wear,13778.88,8064.0,24.0,377.86,90,facade_apron_wear_pass19b_v1
frontage_0210,block_building_0072,washington_heights,frontage_wear,14304.0,8336.48,420.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0211,block_building_0072,washington_heights,sandwich_board,14177.46,8339.0,13,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0212,block_building_0072,washington_heights,trash_bin,14252.95,8334.0,15,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0213,block_building_0072,washington_heights,service_patch,14355.05,8343.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0214,block_building_0072,washington_heights,litter_cluster,14496.24,8347.0,13,11,137,subtle_frontage_litter_pass19b_v1
frontage_0215,block_building_0073,washington_heights,frontage_wear,15136.0,7776.32,442.37,24.0,0,facade_apron_wear_pass19b_v1
frontage_0216,block_building_0073,washington_heights,utility_box,15000.54,7769.8,18,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0217,block_building_0073,washington_heights,stoop,15066.87,7774.8,32,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0218,block_building_0073,washington_heights,sandwich_board,15133.2,7765.8,13,18,0,district_frontage_cluster_pass19b_v1:north
frontage_0219,block_building_0073,washington_heights,trash_bin,15199.53,7770.8,15,15,0,district_frontage_cluster_pass19b_v1:north
frontage_0220,block_building_0073,washington_heights,service_patch,15265.86,7775.8,44,28,0,district_frontage_cluster_pass19b_v1:north
frontage_0221,block_building_0073,washington_heights,litter_cluster,15070.98,7766.8,8,10,172,subtle_frontage_litter_pass19b_v1
frontage_0222,block_building_0073,washington_heights,litter_cluster,15164.45,7767.8,15,9,15,subtle_frontage_litter_pass19b_v1
frontage_0223,block_building_0073,washington_heights,litter_cluster,15257.91,7768.8,14,8,38,subtle_frontage_litter_pass19b_v1
frontage_0224,block_building_0074,fort_lee,frontage_wear,1024.0,8848.48,466.56,24.0,0,facade_apron_wear_pass19b_v1
frontage_0225,block_building_0074,fort_lee,utility_box,963.44,8859.0,18,15,0,district_frontage_cluster_pass19b_v1:south
