building_id,district,building_kind,shape_variant,footprint_fill_ratio,core_visual_w,core_visual_h,footprint_w,footprint_h,scale_mode
block_building_0017,fort_lee,urban_block,stepped,0.8741,647.99,509.29,648.0,712.0,fixed_component_modular_extension_v1
block_building_0018,fort_lee,urban_block,u_shape,0.7549,665.28,517.44,904.0,712.0,fixed_component_modular_extension_v1
block_building_0019,washington_heights,urban_block,perimeter,0.922,460.78,331.59,460.8,780.8,fixed_component_modular_extension_v1
block_building_0020,fort_lee,urban_block,l_shape,0.6575,584.01,464.78,584.0,776.0,fixed_component_modular_extension_v1
block_building_0021,washington_heights,urban_block,courtyard,0.7774,409.6,338.91,409.6,793.6,fixed_component_modular_extension_v1
block_building_0022,washington_heights,urban_block,stepped,0.8745,584.01,435.11,584.0,648.0,fixed_component_modular_extension_v1
block_building_0023,washington_heights,urban_block,perimeter,0.9165,460.78,331.59,460.8,652.8,fixed_component_modular_extension_v1
block_building_0024,washington_heights,urban_block,chamfered,0.8784,648.0,458.0,648.0,560.0,fixed_component_modular_extension_v1
block_building_0025,fort_lee,urban_block,l_shape,0.6618,648.0,496.95,648.0,1032.0,fixed_component_modular_extension_v1
block_building_0026,fort_lee,urban_block,l_shape,0.6683,660.8,481.6,968.0,1032.0,fixed_component_modular_extension_v1
block_building_0027,washington_heights,urban_block,perimeter,0.9239,734.72,519.68,1072.0,588.0,fixed_component_modular_extension_v1
block_building_0028,washington_heights,urban_block,perimeter,0.9245,743.68,501.76,1096.0,588.0,fixed_component_modular_extension_v1
block_building_0029,washington_heights,urban_block,chamfered,0.8671,441.28,365.12,460.8,460.8,fixed_component_modular_extension_v1
block_building_0030,washington_heights,urban_block,chamfered,0.8915,626.69,460.8,652.8,460.8,fixed_component_modular_extension_v1
block_building_0031,fort_lee,urban_block,u_shape,0.758,385.58,294.52,385.6,596.8,fixed_component_modular_extension_v1
block_building_0032,fort_lee,urban_block,courtyard,0.7706,409.59,321.68,409.6,596.8,fixed_component_modular_extension_v1
block_building_0033,fort_lee,urban_block,l_shape,0.666,584.01,454.45,584.0,1160.0,fixed_component_modular_extension_v1
block_building_0034,fort_lee,urban_block,courtyard,0.7779,584.0,440.0,584.0,1160.0,fixed_component_modular_extension_v1
block_building_0035,washington_heights,urban_block,stepped,0.8818,588.78,421.96,588.8,436.8,fixed_component_modular_extension_v1
block_building_0036,fort_lee,urban_block,u_shape,0.7501,648.0,496.95,648.0,712.0,fixed_component_modular_extension_v1
block_building_0037,fort_lee,urban_block,perimeter,0.9079,638.4,510.72,776.0,688.0,fixed_component_modular_extension_v1
block_building_0038,washington_heights,urban_block,perimeter,0.9025,520.02,386.91,520.0,520.0,fixed_component_modular_extension_v1
block_building_0039,washington_heights,urban_block,chamfered,0.8835,648.0,458.0,648.0,520.0,fixed_component_modular_extension_v1
block_building_0040,washington_heights,church_landmark,parish_courtyard,0.8114,524.78,377.41,524.8,436.8,fixed_component_modular_extension_v1
block_building_0041,washington_heights,urban_block,perimeter,0.9138,409.6,338.91,409.6,537.6,fixed_component_modular_extension_v1
block_building_0042,washington_heights,urban_block,stepped,0.875,584.01,435.11,584.0,520.0,fixed_component_modular_extension_v1
block_building_0043,fort_lee,urban_block,courtyard,0.7641,334.41,334.41,334.4,614.4,fixed_component_modular_extension_v1
block_building_0044,fort_lee,urban_block,stepped,0.8745,647.99,509.29,648.0,584.0,fixed_component_modular_extension_v1
block_building_0045,fort_lee,urban_block,stepped,0.87,584.01,454.45,584.0,584.0,fixed_component_modular_extension_v1
block_building_0046,fort_lee,urban_block,perimeter,0.9147,624.0,485.33,624.0,840.0,fixed_component_modular_extension_v1
block_building_0047,fort_lee,urban_block,u_shape,0.7522,663.04,508.48,776.0,776.0,fixed_component_modular_extension_v1
block_building_0048,washington_heights,urban_block,courtyard,0.7723,641.02,460.8,716.8,460.8,fixed_component_modular_extension_v1
block_building_0049,washington_heights,urban_block,l_shape,0.6491,460.78,331.59,460.8,460.8,fixed_component_modular_extension_v1
block_building_0050,washington_heights,urban_block,chamfered,0.8794,385.59,296.15,385.6,473.6,fixed_component_modular_extension_v1
block_building_0051,washington_heights,urban_block,stepped,0.8745,648.0,458.0,648.0,584.0,fixed_component_modular_extension_v1
block_building_0052,washington_heights,urban_block,chamfered,0.8671,520.02,386.91,520.0,520.0,fixed_component_modular_extension_v1
block_building_0053,washington_heights,urban_block,stepped,0.8769,583.98,426.09,584.0,496.0,fixed_component_modular_extension_v1
block_building_0054,washington_heights,urban_block,courtyard,0.7645,620.0,436.82,620.0,520.0,fixed_component_modular_extension_v1
block_building_0055,washington_heights,urban_block,l_shape,0.6546,620.0,452.92,620.0,520.0,fixed_component_modular_extension_v1
block_building_0056,washington_heights,urban_block,stepped,0.87,460.78,331.59,460.8,460.8,fixed_component_modular_extension_v1
block_building_0057,washington_heights,urban_block,stepped,0.88,385.59,296.15,385.6,537.6,fixed_component_modular_extension_v1
block_building_0058,washington_heights,urban_block,u_shape,0.7551,588.78,421.96,588.8,460.8,fixed_component_modular_extension_v1
block_building_0059,washington_heights,urban_block,perimeter,0.9177,550.49,409.58,601.6,409.6,fixed_component_modular_extension_v1
block_building_0060,fort_lee,urban_block,chamfered,0.8869,642.88,510.72,688.0,904.0,fixed_component_modular_extension_v1
block_building_0061,fort_lee,urban_block,chamfered,0.8915,560.11,460.8,652.8,460.8,fixed_component_modular_extension_v1
block_building_0062,fort_lee,urban_block,perimeter,0.9214,358.41,395.06,358.4,827.2,fixed_component_modular_extension_v1
block_building_0063,fort_lee,urban_block,stepped,0.8844,334.41,334.41,334.4,827.2,fixed_component_modular_extension_v1
block_building_0064,washington_heights,urban_block,u_shape,0.7524,326.52,334.39,614.4,334.4,fixed_component_modular_extension_v1
block_building_0065,fort_lee,urban_block,u_shape,0.7501,618.24,526.4,712.0,648.0,fixed_component_modular_extension_v1
block_building_0066,fort_lee,urban_block,u_shape,0.7574,669.76,526.4,904.0,776.0,fixed_component_modular_extension_v1
block_building_0067,washington_heights,church_landmark,stepped_basilica,0.8506,597.96,385.6,601.6,385.6,fixed_component_modular_extension_v1
block_building_0068,washington_heights,urban_block,perimeter,0.9121,651.98,432.04,652.0,520.0,fixed_component_modular_extension_v1
block_building_0069,washington_heights,urban_block,u_shape,0.7545,651.99,467.19,652.0,520.0,fixed_component_modular_extension_v1
block_building_0070,washington_heights,urban_block,stepped,0.8809,409.6,338.91,409.6,537.6,fixed_component_modular_extension_v1
block_building_0071,washington_heights,urban_block,chamfered,0.881,436.82,314.34,436.8,524.8,fixed_component_modular_extension_v1
block_building_0072,washington_heights,urban_block,chamfered,0.8762,584.01,435.11,584.0,520.0,fixed_component_modular_extension_v1
block_building_0073,washington_heights,urban_block,l_shape,0.657,349.96,358.39,614.4,358.4,fixed_component_modular_extension_v1
block_building_0074,fort_lee,urban_block,l_shape,0.6571,623.26,496.02,648.0,496.0,fixed_component_modular_extension_v1
block_building_0075,fort_lee,urban_block,stepped,0.8809,510.45,409.62,537.6,409.6,fixed_component_modular_extension_v1
block_building_0076,fort_lee,urban_block,courtyard,0.7774,516.23,409.62,793.6,409.6,fixed_component_modular_extension_v1
block_building_0077,washington_heights,urban_block,perimeter,0.9047,520.02,386.91,520.0,496.0,fixed_component_modular_extension_v1
block_building_0078,washington_heights,urban_block,perimeter,0.9177,581.38,409.61,601.6,409.6,fixed_component_modular_extension_v1
block_building_0079,fort_lee,urban_block,perimeter,0.9273,510.13,409.6,857.6,409.6,fixed_component_modular_extension_v1
block_building_0080,washington_heights,urban_block,chamfered,0.8967,378.58,334.41,699.2,334.4,fixed_component_modular_extension_v1
block_building_0081,washington_heights,urban_block,stepped,0.8842,349.96,358.39,699.2,358.4,fixed_component_modular_extension_v1
block_building_0082,washington_heights,urban_block,stepped,0.8671,358.42,316.6,358.4,422.4,fixed_component_modular_extension_v1
block_building_0083,washington_heights,urban_block,perimeter,0.9164,433.16,358.4,678.4,358.4,fixed_component_modular_extension_v1
block_building_0084,washington_heights,urban_block,courtyard,0.7524,422.39,303.97,422.4,334.4,fixed_component_modular_extension_v1
block_building_0085,fort_lee,urban_block,stepped,0.8931,358.41,395.06,358.4,1062.4,fixed_component_modular_extension_v1
block_building_0086,fort_lee,urban_block,stepped,0.884,660.8,481.6,716.0,1032.0,fixed_component_modular_extension_v1
block_building_0087,fort_lee,urban_block,l_shape,0.659,631.68,501.76,716.0,1008.0,fixed_component_modular_extension_v1
block_building_0088,fort_lee,urban_block,chamfered,0.893,638.4,510.72,752.0,1032.0,fixed_component_modular_extension_v1
block_building_0089,fort_lee,urban_block,u_shape,0.7641,642.88,510.72,840.0,1032.0,fixed_component_modular_extension_v1
block_building_0090,washington_heights,urban_block,courtyard,0.7779,520.02,386.91,520.0,1032.0,fixed_component_modular_extension_v1
block_building_0091,washington_heights,urban_block,perimeter,0.914,715.99,474.45,716.0,944.0,fixed_component_modular_extension_v1
block_building_0092,washington_heights,urban_block,chamfered,0.8887,715.99,483.08,716.0,968.0,fixed_component_modular_extension_v1
block_building_0093,washington_heights,urban_block,courtyard,0.7744,734.72,519.68,904.0,904.0,fixed_component_modular_extension_v1
block_building_0094,washington_heights,urban_block,chamfered,0.8942,652.02,460.84,652.0,968.0,fixed_component_modular_extension_v1
block_building_0095,washington_heights,urban_block,courtyard,0.7704,651.99,467.19,652.0,944.0,fixed_component_modular_extension_v1
