stairwell_id,building_id,kind,side,x,y,from_level,intermediate_level,to_level,interaction_keys,transition_mode
stair_0038,block_building_0038,exterior_fire_stair,north,15104.0,5482.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0039,block_building_0039,exterior_fire_stair,north,16000.0,5482.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0040,block_building_0040,exterior_fire_stair,west,12391.6,5740.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0041,block_building_0041,exterior_fire_stair,south,13440.0,6046.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0042,block_building_0042,exterior_fire_stair,west,13994.0,5760.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0043,block_building_0043,exterior_fire_stair,east,421.2,6624.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0044,block_building_0044,exterior_fire_stair,north,1024.0,6314.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0045,block_building_0045,exterior_fire_stair,east,2198.0,6624.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0046,block_building_0046,exterior_fire_stair,south,2892.0,7190.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0047,block_building_0047,exterior_fire_stair,east,4310.0,6784.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0048,block_building_0048,exterior_fire_stair,north,11296.0,6311.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0049,block_building_0049,exterior_fire_stair,south,12768.0,6808.4,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0050,block_building_0050,exterior_fire_stair,north,13452.0,6305.2,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0051,block_building_0051,exterior_fire_stair,north,14272.0,6314.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0052,block_building_0052,exterior_fire_stair,south,15104.0,6870.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0053,block_building_0053,exterior_fire_stair,east,16342.0,6604.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0054,block_building_0054,exterior_fire_stair,east,11578.0,7296.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0055,block_building_0055,exterior_fire_stair,north,11918.0,7018.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0056,block_building_0056,exterior_fire_stair,west,12519.6,7264.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0057,block_building_0057,exterior_fire_stair,east,13726.8,7296.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0058,block_building_0058,exterior_fire_stair,north,15136.0,7079.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0059,block_building_0059,exterior_fire_stair,south,16032.0,7518.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0060,block_building_0060,exterior_fire_stair,south,1004.0,8086.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0061,block_building_0061,exterior_fire_stair,north,1920.0,7143.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0062,block_building_0062,exterior_fire_stair,west,26.8,7562.4,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0063,block_building_0063,exterior_fire_stair,east,421.2,8437.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0064,block_building_0064,exterior_fire_stair,north,14304.0,7218.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0065,block_building_0065,exterior_fire_stair,east,3286.0,7744.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0066,block_building_0066,exterior_fire_stair,south,3968.0,8214.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0067,block_building_0067,exterior_fire_stair,east,16350.8,8012.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0068,block_building_0068,exterior_fire_stair,north,11266.0,7786.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0069,block_building_0069,exterior_fire_stair,west,11622.0,8064.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0070,block_building_0070,exterior_fire_stair,east,13086.8,8064.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0071,block_building_0071,exterior_fire_stair,north,13548.0,7783.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0072,block_building_0072,exterior_fire_stair,east,14614.0,8064.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0073,block_building_0073,exterior_fire_stair,west,14810.8,7968.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0074,block_building_0074,exterior_fire_stair,east,1366.0,8588.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0075,block_building_0075,exterior_fire_stair,west,1633.2,8640.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0076,block_building_0076,exterior_fire_stair,north,2880.0,8417.2,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0077,block_building_0077,exterior_fire_stair,east,15446.0,8652.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0078,block_building_0078,exterior_fire_stair,east,16350.8,8640.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0079,block_building_0079,exterior_fire_stair,north,4000.0,8417.2,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0080,block_building_0080,exterior_fire_stair,east,11642.0,8748.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0081,block_building_0081,exterior_fire_stair,north,12021.6,8538.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0082,block_building_0082,exterior_fire_stair,west,13338.8,8704.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0083,block_building_0083,exterior_fire_stair,east,14693.2,8736.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0084,block_building_0084,exterior_fire_stair,west,12698.8,8748.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0085,block_building_0085,exterior_fire_stair,north,224.0,9114.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0086,block_building_0086,exterior_fire_stair,west,682.0,9664.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0087,block_building_0087,exterior_fire_stair,south,1822.0,10198.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0088,block_building_0088,exterior_fire_stair,south,2892.0,10198.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0089,block_building_0089,exterior_fire_stair,west,3562.0,9664.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0090,block_building_0090,exterior_fire_stair,north,16064.0,9130.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0091,block_building_0091,exterior_fire_stair,east,11674.0,9708.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0092,block_building_0092,exterior_fire_stair,north,12062.0,9194.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0093,block_building_0093,exterior_fire_stair,east,13718.0,9664.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0094,block_building_0094,exterior_fire_stair,south,14402.0,10198.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0095,block_building_0095,exterior_fire_stair,south,15102.0,10198.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
