id,x,y,size,district,cosmetic_atlas,cosmetic_cell,placement_rule
tree_0038,1637.02,2752.55,178,fort_lee,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0039,2720.0,2975.58,166,fort_lee,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0040,3626.67,2784.42,154,fort_lee,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0041,4053.33,2975.58,166,fort_lee,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0042,1728.0,6239.58,142,fort_lee,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0043,2784.0,6048.42,178,fort_lee,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0044,3712.0,6239.58,166,fort_lee,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0045,4160.0,6048.42,178,fort_lee,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0046,1733.3,8896.56,154,fort_lee,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0047,2885.3,9087.44,142,fort_lee,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0048,987.59,3622.66,178,fort_lee,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0049,1851.9,3737.37,166,fort_lee,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0050,2816.0,3961.51,142,fort_lee,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0051,3952.0,3846.49,178,fort_lee,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0052,288.0,4614.49,154,fort_lee,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0053,987.59,4761.34,142,fort_lee,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0054,1851.9,4646.63,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0055,2784.0,5241.51,166,fort_lee,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0056,3888.0,5126.49,154,fort_lee,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0057,256.0,6982.49,178,fort_lee,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0058,995.83,7065.38,166,fort_lee,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0059,1924.1,6950.63,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0060,2880.0,7353.51,142,fort_lee,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0061,3968.0,7238.49,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0062,995.97,8100.51,154,fort_lee,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0063,1924.25,8219.47,142,fort_lee,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0064,2859.69,8165.54,178,fort_lee,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0065,3754.67,8379.62,166,fort_lee,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0066,4181.33,8260.38,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0067,1350.49,3232.0,166,fort_lee,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0068,1465.51,4192.0,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0069,1371.88,5207.94,142,fort_lee,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0070,1508.12,5672.06,154,fort_lee,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0071,1529.51,6560.0,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0072,1414.49,7584.0,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0073,1561.31,8571.22,154,fort_lee,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0074,10707.77,2406.93,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0075,10860.32,3173.87,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0076,10675.45,4096.0,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0077,10849.81,5116.81,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0078,10718.19,5635.19,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0079,10707.72,6521.64,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0080,10860.28,7289.64,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0081,10718.21,8124.36,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0082,10849.79,8579.64,178,washington_heights,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0083,10849.78,9425.31,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0084,10718.22,9838.69,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0085,12062.28,2416.29,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0086,11968.7,3239.33,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0087,12223.4,4154.04,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0088,12107.44,5170.95,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0089,12340.56,5645.05,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0090,12415.25,6520.06,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0091,12288.75,7303.94,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0092,12553.82,8118.94,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0093,12491.61,9439.34,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0094,12724.39,9824.66,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0095,13683.45,2400.0,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0096,13868.38,3226.91,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0097,13747.45,4160.0,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0098,13879.15,5123.19,178,washington_heights,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0099,13704.85,5628.81,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0100,13715.72,6534.36,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0101,13921.79,8579.64,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0102,13942.79,9421.32,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0103,13833.21,9842.68,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0104,15551.25,2439.94,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0105,15328.42,3296.0,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0106,15582.62,4210.48,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0107,15604.83,5657.49,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0108,15615.25,6520.06,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0109,15488.75,7303.94,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0110,15477.86,8571.45,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0111,15477.88,9434.36,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0112,15690.12,9829.64,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0113,11173.89,2868.8,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0114,11610.11,2699.2,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0115,12460.46,2704.48,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0116,13324.46,2672.48,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0117,14172.33,2863.51,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0118,14595.67,2688.49,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0119,15004.33,2895.51,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0120,15897.64,2688.63,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0121,11224.81,4552.86,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0122,11687.19,4727.14,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0123,12578.94,4732.49,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0124,13410.94,4700.49,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0125,14258.83,4547.5,178,washington_heights,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0126,15122.83,4579.5,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0127,15973.87,4716.32,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0128,11264.0,6239.58,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0129,11776.0,6048.42,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0130,12778.67,6048.42,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0131,14192.0,6239.58,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0132,15056.0,6239.58,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0133,15936.0,6048.42,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0134,11216.0,7603.45,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0135,11616.0,7756.55,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0136,12016.0,7603.45,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0137,12906.67,7756.55,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0138,13397.33,7603.45,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0139,14320.0,7603.45,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0140,15184.0,7603.45,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0141,16006.36,7724.28,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0142,11200.0,9119.58,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0143,12096.0,9119.58,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0144,14256.0,9119.58,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0145,15120.0,9119.58,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0146,15960.67,8896.7,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0147,11666.46,3684.11,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0148,12579.83,3673.38,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0149,13444.78,3801.31,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0150,14621.7,3801.47,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0151,15026.3,3702.53,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0152,15904.0,3833.51,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0153,12603.9,5318.63,178,washington_heights,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0154,13435.22,5433.31,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0155,14252.81,5326.58,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0156,14691.19,5417.42,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0157,15963.59,5401.34,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0158,11152.0,6969.51,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0159,11552.0,6854.49,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0160,11952.0,6969.51,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0161,12842.67,6854.49,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0162,13333.33,6969.51,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0163,14249.65,6998.84,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0164,14694.35,7065.16,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0165,15113.65,6902.84,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0166,15963.59,7001.34,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0167,11229.79,8457.47,166,washington_heights,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0168,11650.21,8358.53,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0169,12061.79,8489.47,142,washington_heights,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0170,12946.72,8369.21,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0171,13421.28,8462.79,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0172,14299.59,8473.34,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0173,15136.0,8198.49,178,washington_heights,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0174,15963.59,8345.34,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0175,11513.51,4096.0,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0176,13115.62,3168.0,154,washington_heights,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0177,13115.62,4168.0,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0178,13115.62,4952.0,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0179,13028.57,5748.75,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0180,13062.49,6528.0,166,washington_heights,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0181,13209.31,7291.22,154,washington_heights,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0182,13126.49,8032.0,142,washington_heights,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0183,13273.23,8698.28,178,washington_heights,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0184,14713.51,3296.0,178,washington_heights,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0185,14630.66,4196.41,166,washington_heights,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0186,14777.51,5008.0,154,washington_heights,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0187,14662.49,5776.0,142,washington_heights,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0188,14662.49,6624.0,142,washington_heights,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0189,14777.51,7392.0,178,washington_heights,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0190,14662.49,7968.0,166,washington_heights,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0191,14809.31,8635.22,154,washington_heights,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0192,1792.0,8000.0,212,fort_lee,approved_sidewalk_trees_v1.png,0,retained_park_canopy_pass19_v2
tree_0193,1597.92,7777.52,204,fort_lee,approved_sidewalk_trees_v1.png,11,retained_park_canopy_pass19_v2
tree_0194,1792.64,7788.32,172,fort_lee,approved_sidewalk_trees_v1.png,9,retained_park_canopy_pass19_v2
tree_0195,1987.36,7799.12,212,fort_lee,approved_sidewalk_trees_v1.png,7,retained_park_canopy_pass19_v2
tree_0196,1614.48,8097.52,220,fort_lee,approved_sidewalk_trees_v1.png,12,retained_park_canopy_pass19_v2
tree_0197,1952.8,8068.72,158,fort_lee,approved_sidewalk_trees_v1.png,8,retained_park_canopy_pass19_v2
tree_0198,1879.92,8243.12,228,fort_lee,approved_sidewalk_trees_v1.png,0,retained_park_canopy_pass19_v2
tree_0199,1706.67,7893.33,178,fort_lee,approved_sidewalk_trees_v1.png,13,retained_park_canopy_pass19_v2
tree_0200,1877.33,7893.33,178,fort_lee,approved_sidewalk_trees_v1.png,13,retained_park_canopy_pass19_v2
tree_0201,13504.0,3200.0,220,washington_heights,approved_sidewalk_trees_v1.png,1,retained_park_canopy_pass19_v2
tree_0202,13327.2,3062.4,220,washington_heights,approved_sidewalk_trees_v1.png,12,retained_park_canopy_pass19_v2
tree_0203,13521.92,3022.08,186,washington_heights,approved_sidewalk_trees_v1.png,10,retained_park_canopy_pass19_v2
tree_0204,13665.52,3033.6,158,washington_heights,approved_sidewalk_trees_v1.png,8,retained_park_canopy_pass19_v2
tree_0205,13343.76,3331.28,178,washington_heights,approved_sidewalk_trees_v1.png,13,retained_park_canopy_pass19_v2
tree_0206,13487.36,3342.8,204,washington_heights,approved_sidewalk_trees_v1.png,11,retained_park_canopy_pass19_v2
tree_0207,13682.08,3353.6,212,washington_heights,approved_sidewalk_trees_v1.png,9,retained_park_canopy_pass19_v2
tree_0208,4509.29,6483.08,220,fort_lee,approved_sidewalk_trees_v1.png,13,retained_park_canopy_pass19_v2
tree_0209,4474.73,6803.8,204,fort_lee,approved_sidewalk_trees_v1.png,3,retained_park_canopy_pass19_v2
tree_0210,4669.45,6814.6,172,fort_lee,approved_sidewalk_trees_v1.png,1,retained_park_canopy_pass19_v2
tree_0211,4377.86,6016.62,228,fort_lee,approved_sidewalk_trees_v1.png,2,retained_park_canopy_pass19_v2
tree_0212,13626.57,4956.87,228,washington_heights,approved_sidewalk_trees_v1.png,5,retained_park_canopy_pass19_v2
tree_0213,13351.97,4767.87,204,washington_heights,approved_sidewalk_trees_v1.png,11,retained_park_canopy_pass19_v2
tree_0214,13546.69,4778.67,172,washington_heights,approved_sidewalk_trees_v1.png,9,retained_park_canopy_pass19_v2
tree_0215,13422.69,4953.79,212,washington_heights,approved_sidewalk_trees_v1.png,7,retained_park_canopy_pass19_v2
tree_0216,13368.53,5087.87,158,washington_heights,approved_sidewalk_trees_v1.png,8,retained_park_canopy_pass19_v2
tree_0217,13512.13,5099.39,194,washington_heights,approved_sidewalk_trees_v1.png,6,retained_park_canopy_pass19_v2
tree_0218,13706.85,5110.19,220,washington_heights,approved_sidewalk_trees_v1.png,4,retained_park_canopy_pass19_v2
tree_0219,13901.57,5069.87,186,washington_heights,approved_sidewalk_trees_v1.png,2,retained_park_canopy_pass19_v2
tree_0220,13439.25,5222.67,220,washington_heights,approved_sidewalk_trees_v1.png,4,retained_park_canopy_pass19_v2
