id,road_id,x,y,angle,length,width,stripe_width,stripe_gap,curb_cut_depth,stop_bar_gap,priority
gwb_cross_147,ny_w120,14185,7500,90,550,144,56,32,32,36,signalized
gwb_cross_148,ny_w120,14815,7500,90,550,144,56,32,32,36,signalized
gwb_cross_149,ny_claremont,10650,7185,0,550,144,56,32,32,36,signalized
gwb_cross_150,ny_claremont,10650,7815,0,550,144,56,32,32,36,signalized
gwb_cross_151,ny_w120,10335,7500,90,550,144,56,32,32,36,signalized
gwb_cross_152,ny_w120,10965,7500,90,550,144,56,32,32,36,signalized
gwb_cross_153,ny_w116,10565,8800,90,550,144,56,32,32,36,signalized
gwb_cross_154,ny_broadway,11987,8485,0,550,144,56,32,32,36,signalized
gwb_cross_155,ny_broadway,11987,9115,0,550,144,56,32,32,36,signalized
gwb_cross_156,ny_w116,11672,8800,90,550,144,56,32,32,36,signalized
gwb_cross_157,ny_w116,12302,8800,90,550,144,56,32,32,36,signalized
gwb_cross_158,ny_fort_washington,13100,8485,0,550,144,56,32,32,36,signalized
gwb_cross_159,ny_fort_washington,13100,9115,0,550,144,56,32,32,36,signalized
gwb_cross_160,ny_w116,12785,8800,90,550,144,56,32,32,36,signalized
gwb_cross_161,ny_w116,13415,8800,90,550,144,56,32,32,36,signalized
gwb_cross_162,ny_cabrini,14300,8485,0,550,144,56,32,32,36,signalized
gwb_cross_163,ny_cabrini,14300,9115,0,550,144,56,32,32,36,signalized
gwb_cross_164,ny_w116,13985,8800,90,550,144,56,32,32,36,signalized
gwb_cross_165,ny_w116,14615,8800,90,550,144,56,32,32,36,signalized
gwb_cross_166,ny_amsterdam,14500,8485,0,550,144,56,32,32,36,signalized
gwb_cross_167,ny_amsterdam,14500,9115,0,550,144,56,32,32,36,signalized
gwb_cross_168,ny_w116,14185,8800,90,550,144,56,32,32,36,signalized
gwb_cross_169,ny_w116,14815,8800,90,550,144,56,32,32,36,signalized
gwb_cross_170,ny_claremont,10650,8485,0,550,144,56,32,32,36,signalized
gwb_cross_171,ny_claremont,10650,9115,0,550,144,56,32,32,36,signalized
gwb_cross_172,ny_w116,10335,8800,90,550,144,56,32,32,36,signalized
gwb_cross_173,ny_w116,10965,8800,90,550,144,56,32,32,36,signalized
